ID,BDATE,LACT,NM$,TPI,MILK,FAT,PRO,FAT%,PRO%,PL,DPR,HCR
1395,20/03/2025,0,255,2710,1136,10,26,-0.13,-0.04,2.30,0.80,-0.80
1396,21/03/2025,0,106,2550,551,21,13,-0.01,-0.02,0.00,0.30,-0.80
1397,26/03/2025,0,338,2716,1000,18,29,-0.09,-0.01,1.80,-0.40,0.80
1398,31/03/2025,0,272,2734,115,19,13,0.05,0.03,2.30,1.00,0.40
1400,03/04/2025,0,194,2502,54,16,0,0.05,-0.01,1.20,-0.50,-1.30
1401,05/04/2025,0,341,2825,605,29,31,0.01,0.04,1.60,1.20,0.40
1402,05/04/2025,0,469,2840,290,37,20,0.09,0.04,2.80,1.40,1.60
1403,07/04/2025,0,351,2724,1166,26,27,-0.08,-0.04,2.30,-1.60,-1.20
1405,08/04/2025,0,584,2971,901,59,37,0.08,0.03,2.10,-0.30,0.10
1407,12/04/2025,,321,2839,976,24,31,-0.06,0.00,2.30,1.00,2.10
1409,19/04/2025,,180,2616,828,35,24,0.00,-0.01,-0.40,-1.20,-0.70
1412,23/04/2025,,320,2808,1091,24,30,-0.08,-0.02,1.90,0.00,0.60
1413,24/04/2025,,325,2653,-192,0,3,0.03,0.04,4.00,3.50,1.40
1415,27/04/2025,,373,2779,460,37,20,0.07,0.02,2.10,-1.20,-0.30
1417,28/04/2025,,487,2686,-14,55,17,0.21,0.07,0.50,-1.20,0.10
1418,30/04/2025,,471,2905,1261,29,26,-0.08,-0.06,3.70,1.50,-0.30
1420,04/05/2025,,317,2786,-114,39,17,0.17,0.08,1.20,1.00,1.70
1422,05/05/2025,,464,2887,367,31,14,0.06,0.01,3.50,2.30,-1.00
1424,19/05/2025,,94,2567,563,22,7,0.00,-0.04,0.70,-0.90,-0.10
1427,05/06/2025,,239,2765,540,32,26,0.04,0.03,1.10,-0.10,0.60
1428,13/06/2025,,203,2634,1109,13,11,-0.12,-0.09,2.00,-1.00,-1.20
1429,15/06/2025,,462,2900,610,32,27,0.03,0.03,4.20,0.60,1.30
1433,25/06/2025,,233,2651,432,-2,16,-0.07,0.01,2.20,2.10,1.40
1434,27/06/2025,,136,2440,760,10,7,-0.08,-0.07,1.00,-1.30,-2.10
1435,28/06/2025,,329,2702,200,21,11,0.05,0.02,3.20,2.10,-0.40
