Touro_NAAB;Touro_Nome;Touro_TPI;Touro_NM$;Rank_no_Touro;Femea_NAAB;Femea_Num;Femea_Reg;Femea_TPI;Femea_NM$;NM$_PA;NM$_Corrigido;NM$_IC_Lower;NM$_IC_Upper;TPI_PA;F_Esperada_%;Depressao_$;P_Acima_Media_%;P_Top25_%;P_Top10_%;Complementaridade;Balanceamento;Score_Final;PA_MILK;PA_FAT;PA_PROT;PA_SCS;PA_DPR;PA_CCR;PA_PL;PA_LIV;PA_HCR;PA_EFC;PA_HLIV;PA_UDC;PA_FLC;PA_BWC;IC_Low_MILK;IC_High_MILK;IC_Low_FAT;IC_High_FAT;IC_Low_PROT;IC_High_PROT;Haplo_Conflitos;Beta_Caseina;Kappa_Caseina
007HO17686;Commander;3457;1141;15;HOBRAC6735A204247;27;1114;2214;-69;536;441;131;751;2836;3.98;-95;100.0;99.9;97.0;0.0;66.1;76.8;1193.3;54.9;33.0;3.0;-1.9;-0.1;0.7;-1.0;-0.5;0.7;0.0;-0.7;-0.5;-0.5;-568.1;2954.8;-12.4;122.2;-15.0;81.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;16;HOBRAC6735A204245;25;1091;2172;-131;505;410;100;720;2814;3.98;-95;100.0;99.8;95.4;0.0;67.8;76.2;1185.8;38.4;30.5;3.1;-1.2;0.2;0.9;-0.4;-0.1;0.6;0.2;-0.3;-0.2;-1.0;-575.6;2947.3;-28.9;105.7;-17.5;78.5;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;17;HOBRAC6735A204229;9;1194;2216;-231;455;360;50;670;2836;3.98;-95;100.0;99.4;91.4;0.0;73.7;75.7;638.8;43.4;32.0;3.0;-1.0;1.1;0.4;-0.9;2.6;2.4;0.0;-0.8;-0.3;-0.6;-1122.6;2400.3;-23.9;110.7;-16.0;80.0;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;18;HOBRAC6735A204227;7;1103;2200;-121;510;415;105;725;2828;3.98;-95;100.0;99.8;95.7;0.0;60.6;75.3;417.8;62.4;29.0;3.1;-2.0;-0.2;-0.1;-0.1;-0.3;-0.3;0.1;-0.7;-0.4;-0.4;-1343.6;2179.3;-4.9;129.7;-19.0;77.0;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;19;HOBRAC6735A204265;45;1123;2232;-168;486;391;81;701;2844;3.98;-95;100.0;99.7;94.1;0.0;64.1;75.2;1214.3;43.4;34.0;3.1;-1.7;0.2;0.4;-0.6;0.0;1.1;0.2;-0.2;-0.1;-1.2;-547.1;2975.8;-23.9;110.7;-14.0;82.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;20;HOBRAC6735A204239;19;1112;2071;-272;434;339;29;649;2764;3.98;-95;100.0;99.1;89.2;0.0;64.7;75.1;1370.8;34.9;33.0;3.1;-1.5;0.3;0.4;-1.7;-0.2;0.3;-0.1;-0.6;-0.4;-0.7;-390.6;3132.3;-32.4;102.2;-15.0;81.0;;A2A2xA2A2=100%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;21;HOBRAC6735A204244;24;1081;2195;-161;490;395;85;705;2826;3.98;-95;100.0;99.7;94.4;0.0;61.6;74.9;927.8;48.4;33.0;3.1;-1.9;-0.3;0.2;-1.4;-0.4;1.1;0.5;-0.6;-0.1;-0.4;-833.6;2689.3;-18.9;115.7;-15.0;81.0;;A2A2xA2A2=100%A2A2;AAxNoCall
007HO17686;Commander;3457;1141;22;HOBRAC6735A204232;12;1089;2056;-286;428;332;22;642;2756;3.98;-95;100.0;99.0;88.3;0.0;71.6;74.4;956.3;36.9;28.5;3.0;-1.2;0.7;0.5;-0.5;0.3;0.8;0.0;-0.9;-0.3;-0.6;-805.1;2717.8;-30.4;104.2;-19.5;76.5;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;23;HOBRAC6735A204249;29;1108;2030;-374;384;288;-22;598;2744;3.98;-95;100.0;98.0;81.9;0.0;71.0;73.0;599.3;26.4;20.0;3.1;-0.9;1.0;1.1;0.7;0.0;-1.3;0.2;-0.3;0.1;-0.8;-1162.1;2360.8;-40.9;93.7;-28.0;68.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;24;HOBRAC6735A204238;18;1110;2290;-147;497;402;92;712;2874;3.98;-95;100.0;99.7;94.9;0.0;66.4;72.9;1434.8;42.4;38.5;3.1;-1.6;0.1;0.7;-1.5;0.2;2.2;0.4;-0.1;-0.3;-0.5;-326.6;3196.3;-24.9;109.7;-9.5;86.5;;A2A2xA1A2=50%A2A2;AAxAB
007HO17686;Commander;3457;1141;25;HOBRAC6735A204251;31;1088;1983;-273;434;339;29;649;2720;3.98;-95;100.0;99.1;89.1;0.0;60.4;72.8;767.8;40.4;27.5;3.1;-1.6;0.2;-0.2;-0.9;0.5;-0.1;0.0;-0.9;-0.6;-1.2;-993.6;2529.3;-26.9;107.7;-20.5;75.5;;A2A2xA2A2=100%A2A2;AAxNoCall
007HO17686;Commander;3457;1141;26;HOBRAC6735A204254;34;1187;1859;-373;384;289;-21;599;2658;3.98;-95;100.0;98.0;82.0;0.0;68.9;72.4;217.8;42.4;21.0;3.1;-1.2;0.3;-0.6;0.0;0.9;0.2;-0.2;-1.3;-0.6;-1.0;-1543.6;1979.3;-24.9;109.7;-27.0;69.0;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;27;HOBRAC6735A204264;44;1120;2364;68;604;509;199;819;2910;3.98;-95;100.0;100.0;99.0;0.0;18.4;71.6;612.3;76.4;37.0;3.1;-2.3;-0.2;-0.2;-0.6;0.4;0.3;0.0;-0.7;-0.5;-0.6;-1149.1;2373.8;9.1;143.7;-11.0;85.0;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;28;HOBRAC6735A204226;6;1107;2249;-225;458;363;53;673;2853;3.98;-95;100.0;99.4;91.7;0.0;64.0;71.4;727.8;44.4;32.0;3.1;-1.5;0.2;0.4;-1.1;0.2;1.3;0.4;-0.1;0.0;-0.2;-1033.6;2489.3;-22.9;111.7;-16.0;80.0;;A2A2xA1A2=50%A2A2;AAxAE
007HO17686;Commander;3457;1141;29;HOBRAC6735A204230;10;1105;2139;-430;356;260;-50;570;2798;3.98;-95;99.9;96.9;76.9;0.0;62.7;71.0;995.8;35.4;25.5;3.0;-1.5;0.4;0.1;-2.0;0.4;2.5;0.8;0.1;-0.0;0.1;-765.6;2757.3;-31.9;102.7;-22.5;73.5;;A2A2xA2A2=100%A2A2;AAxAB
007HO17686;Commander;3457;1141;30;HOBRAC6735A204224;4;1189;1754;-391;375;280;-30;590;2606;3.98;-95;99.9;97.7;80.5;0.0;59.4;70.6;711.8;31.4;21.5;3.1;-1.5;0.1;-0.1;-0.1;-0.3;-0.4;0.1;-1.5;-0.8;-1.2;-1049.6;2473.3;-35.9;98.7;-26.5;69.5;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;31;HOBRAC6735A204223;3;1115;1814;-509;316;221;-89;531;2636;3.98;-95;99.8;94.7;68.6;0.0;69.4;70.3;554.3;30.4;18.5;3.1;-0.9;0.4;-0.2;-0.2;-0.5;-0.6;-0.1;-1.0;-0.5;-0.4;-1207.1;2315.8;-36.9;97.7;-29.5;66.5;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;32;HOBRAC6735A204255;35;1180;1898;-362;390;294;-16;604;2678;3.98;-95;100.0;98.1;82.9;0.0;70.4;69.9;688.8;30.9;20.5;3.1;-1.1;0.8;0.2;0.0;0.8;0.2;-0.2;-1.0;-0.5;-1.0;-1072.6;2450.3;-36.4;98.2;-27.5;68.5;;A2A2xA1A2=50%A2A2;AAxAE
007HO17686;Commander;3457;1141;33;HOBRAC6735A204248;28;1099;1735;-546;298;202;-108;512;2596;3.98;-95;99.7;93.3;64.4;0.0;69.7;69.6;212.8;33.4;16.0;3.1;-0.9;0.7;-0.6;-0.2;-0.5;0.2;0.0;-1.5;-0.6;-0.7;-1548.6;1974.3;-33.9;100.7;-32.0;64.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;34;HOBRAC6735A204259;39;1117;1712;-478;332;236;-74;546;2584;3.98;-95;99.9;95.7;72.0;0.0;69.3;69.1;350.8;27.9;19.0;3.1;-0.8;0.6;-0.1;0.0;-0.3;-1.4;0.0;-1.5;-0.7;-0.9;-1410.6;2112.3;-39.4;95.2;-29.0;67.0;;A2A2xA1A2=50%A2A2;AAxBB=100%AB
007HO17686;Commander;3457;1141;35;HOBRAC6735A204250;30;1093;1886;-515;313;218;-92;528;2672;3.98;-95;99.8;94.5;68.0;0.0;53.4;67.9;531.3;40.9;19.0;3.1;-2.4;-1.0;-0.4;-0.2;0.3;-0.4;0.4;-0.6;0.0;-0.3;-1230.1;2292.8;-26.4;108.2;-29.0;67.0;;A2A2xA2A2=100%A2A2;AAxAA
007HO17686;Commander;3457;1141;36;HOBRAC6735A204222;2;1106;1985;-413;364;269;-41;579;2721;3.98;-95;99.9;97.3;78.5;0.0;52.3;66.5;430.8;35.9;24.0;3.1;-2.1;-1.0;-0.6;-0.5;-0.2;-2.2;0.4;-0.3;0.0;-1.0;-1330.6;2192.3;-31.4;103.2;-24.0;72.0;;A2A2xA1A2=50%A2A2;AAxBE
