Trait,N_BTB,N_Daughters,N_Total,Features,Best_Single,Best_R2_dev,Stack_R2_dev,PA_R2,Raw_R2_abs,Calibrated_R2_abs,c0,c1,c2,d0,d1,d2,var_expansion,R2_daughter,Winner,Time_s
FTA,94556,1474,96030,161,XGB,0.5608,0.5614,-0.0486,0.5461,0.5462,-0.001,0.9922,0.9954,-0.071,0.9344,0.9259,1.1632,0.7101,STACK,45.8
FLS,94556,1474,96030,161,LGBM,0.5739,0.5745,-0.1346,0.5304,0.5305,-0.0014,0.9898,0.9932,-0.1107,1.003,1.0284,1.3764,0.5407,STACK,45.2
FTL,94556,0,94556,155,LGBM,0.4468,0.4474,0.0211,0.4721,0.4723,0.0037,0.9758,0.9928,0.0037,0.9758,0.9928,1.0,-999.0,STACK,42.0
FUA,94556,1474,96030,161,LGBM,0.6878,0.6883,0.0014,0.7098,0.7098,-0.0024,0.9959,0.9981,-0.116,0.901,0.9367,1.2599,0.4853,STACK,45.8
RUH,94556,1474,96030,161,LGBM,0.7038,0.7039,0.0721,0.7411,0.7412,-0.0057,0.9907,0.9971,-0.0697,0.8594,0.9127,1.2489,0.4524,STACK,48.0
RUW,94556,1474,96030,155,XGB,0.6829,0.6833,0.074,0.7217,0.7219,-0.0106,0.9806,0.994,-0.0834,0.8593,0.9084,1.2325,0.4659,STACK,44.7
UCL,94556,4672,99228,161,LGBM,0.5419,0.5425,-0.0247,0.5425,0.5425,-0.0016,0.9932,0.9963,-0.0328,0.9854,0.9926,1.5881,0.4619,STACK,46.3
UDP,94556,4672,99228,161,LGBM,0.5897,0.59,-0.0567,0.5863,0.5864,-0.0048,0.989,0.9952,-0.0482,1.0171,0.9117,1.7694,0.3071,STACK,46.2
FTP,94556,1474,96030,155,XGB,0.5347,0.5356,-0.1547,0.4934,0.4935,-0.0031,0.9874,0.9928,0.0035,0.9186,0.9258,1.347,0.3665,STACK,45.2
RTP,94556,1474,96030,155,XGB,0.4995,0.5003,-0.1045,0.4675,0.4675,-0.0018,0.9911,0.9945,0.0116,0.9302,0.9225,1.4489,0.3248,STACK,45.7
BWC,94556,0,94556,155,LGBM,0.529,0.5298,-0.1734,0.4533,0.4535,0.0079,0.9734,0.9872,0.0079,0.9734,0.9872,1.0,-999.0,STACK,39.9
NM$,94556,3424,97980,172,LGBM,0.8871,0.8875,0.1506,0.9203,0.9204,-3.3157,0.9841,0.9994,-10.2781,1.0146,0.9995,1.0797,0.8587,STACK,57.7
CM$,94556,3424,97980,161,LGBM,0.8897,0.8899,0.1512,0.9221,0.9222,-2.9024,0.9867,0.9998,-11.1734,1.0156,1.0004,1.0804,0.8573,STACK,51.6
